koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,koi_kepmag
0.0,0,1,1,1,15.6402515,0.0001836,-0.0001836,359.07991,0.00992,-0.00992,1.167,70.14,-0.084,6.222,0.388,-0.388,800.3,49.5,-49.5,18.11,2.85,-2.32,640.0,39.55,21.99,-13.45,19.3,5346.0,204.0,-185.0,4.491,0.105,-0.115,0.826,0.13,-0.106,15.908
0.0,0,1,1,0,1.306723495,1.043e-06,-1.043e-06,132.53576,0.000754,-0.000754,1.229,0.111,-0.072,6.606,0.0349,-0.0349,12457.0,50.7,-50.7,27.42,2.21,-2.46,1170.0,443.02,150.79,-124.81,311.7,4651.0,163.0,-163.0,4.612,0.052,-0.032,0.657,0.053,-0.059,15.984
1.0,0,0,0,0,25.8474958,0.0001702,-0.0001702,188.874,0.00462,-0.00462,0.054,0.421,-0.054,5.985,0.148,-0.148,537.4,21.4,-21.4,2.4,0.75,-0.25,672.0,48.23,43.85,-14.74,27.3,6297.0,169.0,-225.0,4.448,0.052,-0.208,1.031,0.32,-0.107,15.083
0.939,0,0,0,0,3.61460332,2.436e-05,-2.436e-05,133.09123,0.00545,-0.00545,0.026,0.431,-0.026,3.227,0.185,-0.185,43.9,3.3,-3.3,0.9,0.15,-0.19,1397.0,900.38,413.59,-384.05,15.4,5799.0,117.0,-105.0,4.161,0.188,-0.101,1.375,0.221,-0.295,13.219
0.98,1,0,0,0,29.6990126,0.000471,-0.000471,135.6251,0.0118,-0.0118,0.3636,0.0895,-0.3635,1.849,0.569,-0.569,93.3,19.9,-19.9,1.93,0.71,-0.73,880.0,141.6,150.45,-93.42,7.4,6382.0,159.0,-192.0,3.94,0.325,-0.184,1.961,0.72,-0.745,11.998
0.0,0,1,0,0,1.137525054,1.49e-07,-1.49e-07,133.805565,0.000109,-0.000109,1.238,0.054,-0.05,2.68228,0.00463,-0.00463,18006.0,21.7,-21.7,42.74,12.18,-5.2,1746.0,2197.52,1839.82,-697.33,633.1,5912.0,160.0,-178.0,4.467,0.081,-0.189,0.937,0.267,-0.114,15.452
1.0,0,0,0,0,8.77425786,2.931e-05,-2.931e-05,132.33386,0.00296,-0.00296,0.917,0.025,-0.693,2.2245,0.076,-0.076,239.6,12.6,-12.6,1.75,0.53,-0.22,771.0,83.63,76.88,-25.89,22.3,5146.0,154.0,-138.0,4.445,0.1,-0.3,0.905,0.277,-0.111,13.714
0.0,1,0,1,0,0.986620248,1.497e-06,-1.497e-06,448.5959,0.00114,-0.00114,1.252,0.459,-0.159,3.9722,0.0502,-0.0502,1345.8,14.0,-14.0,43.98,12.0,-12.01,2308.0,6719.67,5609.21,-3684.95,117.7,6243.0,197.0,-241.0,4.176,0.246,-0.164,1.385,0.378,-0.378,15.022
1.0,0,0,0,0,3.573202801,9e-07,-9e-07,134.934397,0.000206,-0.000206,0.053,0.227,-0.053,2.88,0.0114,-0.0114,2975.0,9.7,-9.7,5.81,1.6,-0.94,1210.0,507.91,442.5,-203.01,362.1,5646.0,200.0,-220.0,4.37,0.128,-0.192,1.08,0.298,-0.174,14.72
1.0,0,0,0,0,4.45814897,2.897e-05,-2.897e-05,134.39743,0.00472,-0.00472,0.754,0.223,-0.548,2.867,0.152,-0.152,188.1,14.5,-14.5,1.61,0.52,-0.22,1212.0,511.6,502.96,-182.45,14.3,6100.0,193.0,-214.0,4.376,0.105,-0.195,1.083,0.35,-0.15,14.82
1.0,0,0,0,0,16.51410989,3.387e-05,-3.387e-05,176.11686,0.00165,-0.00165,0.395,0.008,-0.395,4.1575,0.0539,-0.0539,973.5,18.5,-18.5,2.72,0.27,-0.24,655.0,43.57,13.8,-9.97,55.9,5527.0,111.0,-111.0,4.488,0.075,-0.075,0.866,0.089,-0.074,15.223
0.965,0,0,0,0,13.2965044,0.0004073,-0.0004073,136.5669,0.0119,-0.0119,0.902,0.07,-0.684,5.68,1.2,-1.2,133.4,28.9,-28.9,0.88,0.07,-0.08,488.0,13.42,4.29,-3.38,9.1,4352.0,116.0,-129.0,4.671,0.032,-0.042,0.613,0.055,-0.05,15.073
0.98,1,0,0,0,365.13981,0.0162,-0.0162,156.6413,0.0228,-0.0228,0.0901,0.4218,-0.0901,4.46,1.3,-1.3,531.0,124.0,-124.0,1.86,0.73,-0.15,228.0,0.64,0.74,-0.15,7.9,5610.0,157.0,-144.0,4.564,0.032,-0.262,0.815,0.32,-0.065,14.934
0.98,0,0,0,0,409.38645,0.02907,-0.02907,340.621,0.037,-0.037,0.0706,0.3801,-0.0705,13.78,1.7,-1.7,531.5,83.7,-83.7,1.78,0.57,-0.16,197.0,0.35,0.35,-0.09,10.3,4955.0,171.0,-136.0,4.517,0.065,-0.68,0.799,0.255,-0.071,15.149
0.0,1,0,0,0,1.463773705,7.21e-07,-7.21e-07,132.807589,0.000406,-0.000406,0.838,6.429,-0.081,1.9123,0.0288,-0.0288,64776.0,620.0,-620.0,21.79,2.05,-1.83,1329.0,739.19,256.13,-189.33,119.7,5446.0,162.0,-162.0,4.599,0.077,-0.056,0.668,0.063,-0.056,13.318
1.0,0,0,0,0,38.5576546,0.0001765,-0.0001765,163.85063,0.00407,-0.00407,0.911,0.025,-0.663,5.794,0.199,-0.199,993.0,26.8,-26.8,4.02,0.62,-0.36,550.0,21.71,8.73,-4.66,39.7,5775.0,78.0,-78.0,4.405,0.066,-0.123,1.053,0.161,-0.094,15.386
0.0,0,0,1,0,1.183818383,4.977e-06,-4.977e-06,131.88403,0.00324,-0.00324,0.17,0.288,-0.17,1.393,0.118,-0.118,84.3,8.0,-8.0,0.91,0.31,-0.1,1775.0,2337.65,2297.68,-734.59,12.7,6014.0,168.0,-210.0,4.459,0.054,-0.216,0.992,0.33,-0.11,14.675
